	5C_305_ENm008_REV_1|hg18|chr16:1-5693	5C_305_ENm008_OUT_2-5|hg18|chr16:5693-11138	5C_305_ENm008_REV_6|hg18|chr16:11138-15091	5C_305_ENm008_FOR_7|hg18|chr16:15091-18344	5C_305_ENm008_FOR_8|hg18|chr16:18344-29756	5C_305_ENm008_REV_10|hg18|chr16:29779-44231	5C_305_ENm008_REV_11|hg18|chr16:44231-50868	5C_305_ENm008_REV_12|hg18|chr16:50868-52846	5C_305_ENm008_REV_13|hg18|chr16:52846-55911	5C_305_ENm008_FOR_14|hg18|chr16:55911-56690	5C_305_ENm008_REV_15|hg18|chr16:56690-64056	5C_305_ENm008_FOR_16|hg18|chr16:64056-65723	5C_305_ENm008_REV_17|hg18|chr16:65723-74448	5C_305_ENm008_REV_18|hg18|chr16:74448-86128	5C_305_ENm008_FOR_19|hg18|chr16:86128-86217	5C_305_ENm008_FOR_20|hg18|chr16:86217-87749	5C_305_ENm008_REV_21|hg18|chr16:87749-90248	5C_305_ENm008_FOR_22|hg18|chr16:90248-91497	5C_305_ENm008_FOR_23|hg18|chr16:91497-95256	5C_305_ENm008_FOR_24|hg18|chr16:95256-100530	5C_305_ENm008_FOR_25|hg18|chr16:100530-104687	5C_305_ENm008_REV_26|hg18|chr16:104687-109838	5C_305_ENm008_OUT_27|hg18|chr16:109838-120933	5C_305_ENm008_REV_28|hg18|chr16:120933-131220	5C_305_ENm008_FOR_29|hg18|chr16:131220-134334	5C_305_ENm008_OUT_30|hg18|chr16:134334-147782	5C_305_ENm008_REV_31+32|hg18|chr16:147782-167103	5C_305_ENm008_REV_33|hg18|chr16:167103-171769	5C_305_ENm008_REV_34|hg18|chr16:171769-185994	5C_305_ENm008_FOR_35|hg18|chr16:185994-189074	5C_305_ENm008_OUT_36|hg18|chr16:189074-192185	5C_305_ENm008_REV_37|hg18|chr16:192185-203353	5C_305_ENm008_REV_38|hg18|chr16:203353-217802	5C_305_ENm008_REV_39|hg18|chr16:217802-225341	5C_305_ENm008_REV_40|hg18|chr16:225341-235762	5C_305_ENm008_OUT_41|hg18|chr16:235762-237363	5C_305_ENm008_FOR_42|hg18|chr16:237363-239095	5C_305_ENm008_REV_43|hg18|chr16:239095-247214	5C_305_ENm008_OUT_44|hg18|chr16:247214-260279	5C_305_ENm008_REV_45|hg18|chr16:260279-277942	5C_305_ENm008_OUT_46|hg18|chr16:277942-286059	5C_305_ENm008_FOR_47|hg18|chr16:286059-289198	5C_305_ENm008_FOR_48|hg18|chr16:289198-303867	5C_305_ENm008_FOR_49|hg18|chr16:303867-310528	5C_305_ENm008_FOR_50|hg18|chr16:310528-314538	5C_305_ENm008_FOR_51|hg18|chr16:314538-327240	5C_305_ENm008_OUT_52|hg18|chr16:327240-331940	5C_305_ENm008_FOR_53|hg18|chr16:331940-332109	5C_305_ENm008_FOR_54|hg18|chr16:332109-334889	5C_305_ENm008_FOR_55|hg18|chr16:334889-335401	5C_305_ENm008_OUT_56|hg18|chr16:335401-346310	5C_305_ENm008_FOR_57|hg18|chr16:346310-352385	5C_305_ENm008_FOR_58|hg18|chr16:352385-353009	5C_305_ENm008_REV_59|hg18|chr16:353009-360924	5C_305_ENm008_REV_60|hg18|chr16:360924-372570	5C_305_ENm008_OUT_61|hg18|chr16:372570-372670	5C_305_ENm008_REV_62|hg18|chr16:372670-376971	5C_305_ENm008_REV_63|hg18|chr16:376971-380160	5C_305_ENm008_OUT_64|hg18|chr16:380160-402437	5C_305_ENm008_REV_65|hg18|chr16:402437-418222	5C_305_ENm008_FOR_66|hg18|chr16:418222-421291	5C_305_ENm008_FOR_67|hg18|chr16:421291-433293	5C_305_ENm008_OUT_68|hg18|chr16:433293-433293	5C_305_ENm008_FOR_69|hg18|chr16:441045-445126	5C_305_ENm008_FOR_70|hg18|chr16:445126-447073	5C_305_ENm008_FOR_71|hg18|chr16:447073-454365	5C_305_ENm008_REV_72|hg18|chr16:454365-483412	5C_305_ENm008_FOR_73|hg18|chr16:483412-483472	5C_305_ENm008_REV_74|hg18|chr16:483472-496513	5C_305_ENm008_FOR_75|hg18|chr16:496513-499411
5C_305_ENm008_REV_1|hg18|chr16:1-5693	0	314	314	314	314	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_OUT_2-5|hg18|chr16:5693-11138	314	0	314	314	314	314	10	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_6|hg18|chr16:11138-15091	314	314	0	314	314	314	314	314	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_7|hg18|chr16:15091-18344	314	314	314	0	314	314	314	313	142	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_8|hg18|chr16:18344-29756	314	314	314	314	0	314	314	314	314	136	164	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	309	286	16	4	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_10|hg18|chr16:29779-44231	156	314	314	314	314	0	314	314	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_11|hg18|chr16:44231-50868	0	10	314	314	314	314	0	314	314	314	314	3	227	0	0	0	0	0	0	0	0	69	80	0	0	0	305	312	314	141	2	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_12|hg18|chr16:50868-52846	0	308	314	313	314	314	314	0	314	314	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_13|hg18|chr16:52846-55911	0	0	243	142	314	314	314	314	0	314	314	314	314	0	0	0	0	0	0	0	0	0	1	0	0	0	79	312	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_14|hg18|chr16:55911-56690	0	0	0	48	136	0	314	314	314	0	314	314	314	9	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_15|hg18|chr16:56690-64056	0	0	0	0	164	0	314	314	314	314	0	314	314	314	314	3	0	23	303	231	0	8	7	0	0	0	27	313	314	266	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_16|hg18|chr16:64056-65723	0	0	0	0	0	0	3	0	314	314	314	0	314	314	314	306	0	86	133	3	0	0	0	0	0	0	0	258	79	235	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_17|hg18|chr16:65723-74448	0	0	0	0	0	0	227	0	314	314	314	314	0	314	314	314	245	314	314	314	266	101	143	15	0	26	25	313	249	277	205	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_18|hg18|chr16:74448-86128	0	0	0	0	0	0	0	0	0	9	314	314	314	0	314	314	314	314	314	314	28	0	8	5	0	2	2	31	174	212	210	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_19|hg18|chr16:86128-86217	0	0	0	0	0	0	0	0	0	0	314	314	314	314	0	314	314	314	314	314	314	126	6	2	2	0	2	33	81	235	231	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_20|hg18|chr16:86217-87749	0	0	0	0	0	0	0	0	0	0	3	306	314	314	314	0	314	314	314	314	314	114	9	3	2	0	2	2	11	233	209	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_REV_21|hg18|chr16:87749-90248	0	0	0	0	0	0	0	0	0	0	0	0	245	314	314	314	0	314	314	314	314	272	70	111	110	56	0	2	0	85	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5C_305_ENm008_FOR_22|hg18|chr16:90248-91497	0	0	0	0	0	0	0	0	0	0	23	86	314	314	314	314	314	0	314	314	314	314	201	153	234	54	2	23	68	237	176	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
